keyword_id,seed_keyword,keyword,search_volume,competition,cpc,commercial_intent,score,status,created_at,updated_at,source,note
0001,쥬얼리 저렴하게 구매,직장인 쥬얼리 저렴하게 구매 비교,18056,낮음,950.0,0.45,81.0,golden,2026-05-02T00:31:37+0000,2026-05-02T00:31:37+0000,heuristic+alchemy,transmuted from '쥬얼리 저렴하게 구매'
0002,쥬얼리 저렴하게 구매,쥬얼리 저렴하게 구매 추천,11439,낮음,1380.0,0.45,82.11,golden,2026-05-02T00:31:37+0000,2026-05-02T00:31:37+0000,heuristic,
0004,쥬얼리 저렴하게 구매,쥬얼리 저렴하게 구매 방법,21426,낮음,480.0,0.45,72.11,golden,2026-05-02T00:31:37+0000,2026-05-02T00:31:37+0000,heuristic,
0005,쥬얼리 저렴하게 구매,쥬얼리 저렴하게 구매 순위,9793,낮음,1180.0,0.45,81.0,golden,2026-05-02T00:31:37+0000,2026-05-02T00:31:37+0000,heuristic,
0006,쥬얼리 저렴하게 구매,쥬얼리 저렴하게 구매 후기,25467,낮음,510.0,0.45,81.0,golden,2026-05-02T00:31:37+0000,2026-05-02T00:31:37+0000,heuristic,
0007,쥬얼리 저렴하게 구매,직장인 쥬얼리 저렴하게 구매 가격 추천,22848,낮음,390.0,0.7,76.11,golden,2026-05-02T00:31:37+0000,2026-05-02T00:31:37+0000,heuristic+alchemy,transmuted from '쥬얼리 저렴하게 구매 가격'
0008,쥬얼리 저렴하게 구매,직장인 쥬얼리 저렴하게 구매 가격 방법,14984,낮음,410.0,0.7,76.33,golden,2026-05-02T00:31:37+0000,2026-05-02T00:31:37+0000,heuristic+alchemy,transmuted from '쥬얼리 저렴하게 구매 가격'
0009,쥬얼리 저렴하게 구매,직장인 쥬얼리 저렴하게 구매 가격 비교,5218,낮음,1410.0,0.7,87.44,golden,2026-05-02T00:31:37+0000,2026-05-02T00:31:37+0000,heuristic+alchemy,transmuted from '쥬얼리 저렴하게 구매 가격'
0010,쥬얼리 저렴하게 구매,쥬얼리 저렴하게 구매 리뷰,2820,중간,1640.0,0.45,70.0,golden,2026-05-02T00:31:37+0000,2026-05-02T00:34:16+0000,heuristic,
0011,쥬얼리 저렴하게 구매,쥬얼리 저렴하게 구매 best,25767,낮음,1600.0,0.45,84.56,golden,2026-05-02T00:31:37+0000,2026-05-02T00:31:37+0000,heuristic,
0012,쥬얼리 저렴하게 구매,쥬얼리 저렴하게 구매 TOP5,7728,낮음,1630.0,0.45,84.89,golden,2026-05-02T00:31:37+0000,2026-05-02T00:31:37+0000,heuristic,
