keyword_id,seed_keyword,keyword,search_volume,competition,cpc,commercial_intent,score,status,created_at,updated_at,source,note
0001,다이어트,직장인 다이어트 추천,16618,낮음,780.0,0.45,81.0,golden,2026-05-01T12:28:44+0000,2026-05-01T12:28:44+0000,heuristic+alchemy,transmuted from '다이어트'
0002,다이어트,직장인 다이어트 방법,15503,낮음,960.0,0.45,81.0,golden,2026-05-01T12:28:44+0000,2026-05-01T12:28:44+0000,heuristic+alchemy,transmuted from '다이어트'
0003,다이어트,직장인 다이어트 비교,33172,낮음,1540.0,0.45,81.51,golden,2026-05-01T12:28:44+0000,2026-05-01T12:28:44+0000,heuristic+alchemy,transmuted from '다이어트'
0004,다이어트,다이어트 추천,5775,낮음,1750.0,0.45,86.22,golden,2026-05-01T12:28:44+0000,2026-05-01T12:28:44+0000,heuristic,
0005,다이어트,다이어트 비교,23002,낮음,1610.0,0.45,84.67,golden,2026-05-01T12:28:44+0000,2026-05-01T12:28:44+0000,heuristic,
0006,다이어트,다이어트 방법,22047,중간,1310.0,0.45,66.33,golden,2026-05-01T12:28:44+0000,2026-05-01T12:28:44+0000,heuristic,
0007,다이어트,다이어트 순위,9720,낮음,1470.0,0.45,83.11,golden,2026-05-01T12:28:44+0000,2026-05-01T12:28:44+0000,heuristic,
0008,다이어트,다이어트 후기,25171,중간,1550.0,0.45,69.0,golden,2026-05-01T12:28:44+0000,2026-05-01T12:28:44+0000,heuristic,
0009,다이어트,다이어트 가격,23868,낮음,1200.0,0.45,81.0,golden,2026-05-01T12:28:44+0000,2026-05-01T12:28:44+0000,heuristic,
0010,다이어트,다이어트 리뷰,20062,낮음,770.0,0.45,81.0,golden,2026-05-01T12:28:44+0000,2026-05-01T12:28:44+0000,heuristic,
0011,다이어트,다이어트 best,26605,중간,1040.0,0.45,66.0,golden,2026-05-01T12:28:44+0000,2026-05-01T12:28:44+0000,heuristic,
0012,다이어트,다이어트 TOP5,20497,중간,1990.0,0.45,73.89,golden,2026-05-01T12:28:44+0000,2026-05-01T12:28:44+0000,heuristic,
0013,AI ETF,AI ETF,25836,중간,1850.0,0.2,67.33,golden,2026-05-01T12:28:44+0000,2026-05-01T12:28:44+0000,heuristic,
0014,AI ETF,AI ETF 추천,10594,낮음,1320.0,0.45,81.44,golden,2026-05-01T12:28:44+0000,2026-05-01T12:28:44+0000,heuristic,
0015,AI ETF,AI ETF 비교,7202,중간,570.0,0.45,66.0,golden,2026-05-01T12:28:44+0000,2026-05-01T12:28:44+0000,heuristic,
0016,AI ETF,AI ETF 방법,4085,중간,1880.0,0.45,72.67,golden,2026-05-01T12:28:44+0000,2026-05-01T12:28:44+0000,heuristic,
0017,AI ETF,직장인 AI ETF 순위 추천,19032,낮음,710.0,0.7,86.0,golden,2026-05-01T12:28:44+0000,2026-05-01T12:28:44+0000,heuristic+alchemy,transmuted from 'AI ETF 순위'
0018,AI ETF,직장인 AI ETF 순위 비교,20076,낮음,1560.0,0.7,89.11,golden,2026-05-01T12:28:44+0000,2026-05-01T12:28:44+0000,heuristic+alchemy,transmuted from 'AI ETF 순위'
0019,AI ETF,AI ETF 후기,24067,중간,1350.0,0.45,66.78,golden,2026-05-01T12:28:44+0000,2026-05-01T12:28:44+0000,heuristic,
0020,AI ETF,AI ETF 가격,19295,낮음,630.0,0.45,81.0,golden,2026-05-01T12:28:44+0000,2026-05-01T12:28:44+0000,heuristic,
0021,AI ETF,AI ETF 리뷰,26207,중간,1720.0,0.45,70.89,golden,2026-05-01T12:28:44+0000,2026-05-01T12:28:44+0000,heuristic,
0022,AI ETF,AI ETF best,29492,중간,1540.0,0.45,68.89,golden,2026-05-01T12:28:44+0000,2026-05-01T12:28:44+0000,heuristic,
0023,AI ETF,AI ETF TOP5,27505,낮음,400.0,0.45,71.22,golden,2026-05-01T12:28:44+0000,2026-05-01T12:28:44+0000,heuristic,
0024,챗GPT 활용법,챗GPT 활용법,18102,낮음,680.0,0.2,76.0,golden,2026-05-01T12:28:44+0000,2026-05-01T12:28:44+0000,heuristic,
0025,챗GPT 활용법,챗GPT 활용법 추천,26397,낮음,1630.0,0.45,84.89,golden,2026-05-01T12:28:44+0000,2026-05-01T12:28:44+0000,heuristic,
0026,챗GPT 활용법,챗GPT 활용법 비교,25239,중간,1790.0,0.45,71.67,golden,2026-05-01T12:28:44+0000,2026-05-01T12:28:44+0000,heuristic,
0027,챗GPT 활용법,직장인 챗GPT 활용법 방법 추천,18503,낮음,1300.0,0.7,86.22,golden,2026-05-01T12:28:44+0000,2026-05-01T12:28:44+0000,heuristic+alchemy,transmuted from '챗GPT 활용법 방법'
0028,챗GPT 활용법,직장인 챗GPT 활용법 방법 방법,18382,중간,1500.0,0.45,68.44,golden,2026-05-01T12:28:44+0000,2026-05-01T12:28:44+0000,heuristic+alchemy,transmuted from '챗GPT 활용법 방법'
0029,챗GPT 활용법,직장인 챗GPT 활용법 방법 비교,20933,중간,1220.0,0.7,71.0,golden,2026-05-01T12:28:44+0000,2026-05-01T12:28:44+0000,heuristic+alchemy,transmuted from '챗GPT 활용법 방법'
0030,챗GPT 활용법,챗GPT 활용법 순위,18578,낮음,310.0,0.45,70.22,golden,2026-05-01T12:28:44+0000,2026-05-01T12:28:44+0000,heuristic,
0031,챗GPT 활용법,챗GPT 활용법 후기,19521,낮음,710.0,0.45,81.0,golden,2026-05-01T12:28:44+0000,2026-05-01T12:28:44+0000,heuristic,
0032,챗GPT 활용법,챗GPT 활용법 가격,8160,낮음,1330.0,0.45,81.56,golden,2026-05-01T12:28:44+0000,2026-05-01T12:28:44+0000,heuristic,
0033,챗GPT 활용법,챗GPT 활용법 리뷰,30462,중간,1360.0,0.45,66.54,golden,2026-05-01T12:28:44+0000,2026-05-01T12:28:44+0000,heuristic,
0034,챗GPT 활용법,챗GPT 활용법 best,18134,낮음,290.0,0.45,70.0,golden,2026-05-01T12:28:44+0000,2026-05-01T12:28:44+0000,heuristic,
0035,챗GPT 활용법,챗GPT 활용법 TOP5,8135,낮음,1750.0,0.45,86.22,golden,2026-05-01T12:28:44+0000,2026-05-01T12:28:44+0000,heuristic,
