keyword,grade,total_score,profile,datalab_score,datalab_direction,blog_results,blog_competition,commercial_hits,gtrends_score,weak_points,is_alchemy,original_keyword,seed_keyword,created_at
다이어트 방법,보통,53,일반,71.2,➡️  유지중,5370593,🔴 매우 높음 (레드오션),방법,5.2,경쟁도높음,N,,다이어트,2026-04-04 19:29
다이어트 후기,보통,53,일반,81.5,➡️  유지중,3110804,🔴 매우 높음 (레드오션),후기,9.3,경쟁도높음,N,,다이어트,2026-04-04 19:29
다이어트 종류,보통,53,일반,76.6,➡️  유지중,1976763,🔴 매우 높음 (레드오션),종류,7.8,경쟁도높음,N,,다이어트,2026-04-04 19:29
다이어트방법,보통,52,일반,71.2,➡️  유지중,5370593,🔴 매우 높음 (레드오션),방법,7.7,경쟁도높음,N,,다이어트,2026-04-04 19:29
댄스다이어트,보통,51,일반,72.9,➡️  유지중,50207,🟠 보통,없음,2.2,"경쟁도높음, 상업의도부족",N,,다이어트,2026-04-04 19:29
사회초년생 다이어트 방법,좋은,61,롱테일,0,데이터없음,5241,🟡 낮음,방법,0,트렌드낮음,Y,다이어트 방법,다이어트,2026-04-04 19:29
직장인 다이어트 방법,보통,50,롱테일,100.0,➡️  유지중,312402,🔴 높음,방법,0,경쟁도높음,Y,다이어트 방법,다이어트,2026-04-04 19:29
30대 다이어트 방법,보통,50,롱테일,100.0,➡️  유지중,147869,🔴 높음,방법,0,경쟁도높음,Y,다이어트 방법,다이어트,2026-04-04 19:29
대학생 다이어트 방법,보통,46,롱테일,0,데이터없음,39697,🟠 보통,방법,0,"트렌드낮음, 경쟁도높음",Y,다이어트 방법,다이어트,2026-04-04 19:29
저렴하게 다이어트 방법,보통,43,롱테일,0,데이터없음,87999,🟠 보통,방법,2.7,"트렌드낮음, 경쟁도높음",Y,다이어트 방법,다이어트,2026-04-04 19:29
다이어트 방법 처음 시작하는,미달,39,롱테일,0,데이터없음,127614,🔴 높음,방법,0,"트렌드낮음, 경쟁도높음",Y,다이어트 방법,다이어트,2026-04-04 19:29
다이어트 방법 집에서,미달,39,롱테일,0,데이터없음,460473,🔴 높음,방법,0,"트렌드낮음, 경쟁도높음",Y,다이어트 방법,다이어트,2026-04-04 19:29
다이어트 방법 혼자서,미달,36,롱테일,0,데이터없음,173500,🔴 높음,방법,1.1,"트렌드낮음, 경쟁도높음",Y,다이어트 방법,다이어트,2026-04-04 19:29
가성비 다이어트 방법,미달,36,롱테일,0,데이터없음,168414,🔴 높음,방법,1.1,"트렌드낮음, 경쟁도높음",Y,다이어트 방법,다이어트,2026-04-04 19:29
사회초년생 다이어트 후기,좋은,76,롱테일,0,데이터없음,2324,🟢 매우 낮음,후기,0,트렌드낮음,Y,다이어트 후기,다이어트,2026-04-04 19:29
대학생 다이어트 후기,보통,46,롱테일,0,데이터없음,31318,🟠 보통,후기,0,"트렌드낮음, 경쟁도높음",Y,다이어트 후기,다이어트,2026-04-04 19:29
30대 다이어트 후기,보통,46,롱테일,0,데이터없음,87678,🟠 보통,후기,0,"트렌드낮음, 경쟁도높음",Y,다이어트 후기,다이어트,2026-04-04 19:29
다이어트 후기 혼자서,보통,46,롱테일,0,데이터없음,80404,🟠 보통,후기,0,"트렌드낮음, 경쟁도높음",Y,다이어트 후기,다이어트,2026-04-04 19:29
저렴하게 다이어트 후기,보통,46,롱테일,0,데이터없음,78514,🟠 보통,후기,0,"트렌드낮음, 경쟁도높음",Y,다이어트 후기,다이어트,2026-04-04 19:29
다이어트 후기 처음 시작하는,보통,43,롱테일,0,데이터없음,57943,🟠 보통,후기,1.1,"트렌드낮음, 경쟁도높음",Y,다이어트 후기,다이어트,2026-04-04 19:29
직장인 다이어트 후기,미달,39,롱테일,0,데이터없음,224420,🔴 높음,후기,0,"트렌드낮음, 경쟁도높음",Y,다이어트 후기,다이어트,2026-04-04 19:29
다이어트 후기 집에서,미달,39,롱테일,0,데이터없음,350032,🔴 높음,후기,0,"트렌드낮음, 경쟁도높음",Y,다이어트 후기,다이어트,2026-04-04 19:29
가성비 다이어트 후기,미달,36,롱테일,0,데이터없음,254816,🔴 높음,후기,1.1,"트렌드낮음, 경쟁도높음",Y,다이어트 후기,다이어트,2026-04-04 19:29
사회초년생 다이어트 종류,좋은,73,롱테일,0,데이터없음,1334,🟢 매우 낮음,종류,1.1,트렌드낮음,Y,다이어트 종류,다이어트,2026-04-04 19:29
대학생 다이어트 종류,좋은,61,롱테일,0,데이터없음,17158,🟡 낮음,종류,0,트렌드낮음,Y,다이어트 종류,다이어트,2026-04-04 19:29
다이어트 종류 처음 시작하는,보통,46,롱테일,0,데이터없음,33465,🟠 보통,종류,0,"트렌드낮음, 경쟁도높음",Y,다이어트 종류,다이어트,2026-04-04 19:29
저렴하게 다이어트 종류,보통,46,롱테일,0,데이터없음,53197,🟠 보통,종류,0,"트렌드낮음, 경쟁도높음",Y,다이어트 종류,다이어트,2026-04-04 19:29
30대 다이어트 종류,보통,43,롱테일,0,데이터없음,38055,🟠 보통,종류,1.1,"트렌드낮음, 경쟁도높음",Y,다이어트 종류,다이어트,2026-04-04 19:29
다이어트 종류 혼자서,보통,43,롱테일,0,데이터없음,48286,🟠 보통,종류,1.1,"트렌드낮음, 경쟁도높음",Y,다이어트 종류,다이어트,2026-04-04 19:29
